Google Flu Trends - Canada
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends

Date,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Saskatchewan,Quebec
2005-12-25,2697,3745,3587,2214,3066,3138,2417,2294,3224,2273
2006-01-01,2915,3624,3161,2197,2952,3222,2612,2910,3711,2704
2006-01-08,2356,2744,2731,2632,2482,3313,2750,2107,3018,2252
2006-01-15,2223,2798,2408,2209,1997,3334,2562,2114,2370,1868
2006-01-22,2295,2886,2653,1887,1897,3184,2899,2089,2452,1868
2006-01-29,2401,3008,2431,2691,2138,2938,2572,2452,3344,1808
2006-02-05,2587,3500,2272,3212,1878,2450,3406,2817,2750,1664
2006-02-12,2503,3269,2825,3727,1869,2530,2728,2550,3261,1371
2006-02-19,2793,2690,2900,3619,1996,2379,3065,3134,3483,1727
2006-02-26,3310,3010,3516,4233,2438,3326,3530,3769,3517,1974
2006-03-05,3533,2528,3449,3769,2896,3560,4967,4246,3144,2173
2006-03-12,2843,2380,2871,2613,3077,3301,4514,3245,2621,1893
2006-03-19,2752,2549,2647,2253,3039,2928,3818,3120,2635,1973
2006-03-26,2326,2247,1752,1916,3372,3057,4121,2497,2883,1926
2006-04-02,2169,2157,1574,2304,3268,3197,3315,2197,2573,2164
2006-04-09,1854,1596,1234,2402,3036,3045,2610,1923,2447,1950
2006-04-16,1769,1552,1540,1893,2565,2998,2032,1866,2111,1792
2006-04-23,1632,1293,1708,1435,2132,2509,1873,1761,1900,1537
2006-04-30,1445,1460,1400,1423,1774,2456,2188,1456,1659,1133
2006-05-07,1276,1328,1342,1631,1634,2425,2239,1173,1650,1086
2006-05-14,1173,1462,956,1722,1780,2389,1974,1124,1690,971
2006-05-21,1172,1193,1055,1382,1651,2197,1854,1231,1580,957
2006-05-28,1078,1440,1223,1125,1836,2042,1915,865,1590,953
2006-06-04,940,1374,1039,828,1819,1865,1655,914,1278,619
2006-06-11,951,1436,1161,734,1565,1856,1233,786,1236,753
2006-06-18,858,1005,1024,826,1410,1690,1154,749,1532,654
2006-06-25,752,1172,1024,1009,1304,1602,1039,599,1530,473
2006-07-02,785,1139,850,987,1244,1490,873,629,1675,699
2006-07-09,786,1037,1089,953,1200,1493,955,671,1796,468
2006-07-16,724,1376,881,849,1014,1366,978,620,1549,493
2006-07-23,707,979,653,872,922,1274,817,596,1475,681
2006-07-30,744,839,595,931,928,1167,863,712,1307,351
2006-08-06,736,994,635,1033,839,1176,789,611,1354,822
2006-08-13,774,943,803,1552,1066,1106,776,649,1285,602
2006-08-20,752,1003,813,1354,1029,1108,905,653,1218,667
2006-08-27,801,849,692,1362,1147,1173,899,717,1388,712
2006-09-03,931,1038,784,1273,1404,1165,1035,825,1324,838
2006-09-10,1118,815,906,1430,1587,1360,1158,1095,1399,1175
2006-09-17,1427,1336,1138,1636,1983,1834,1673,1453,1560,1211
2006-09-24,1627,1246,1355,1775,2051,1954,1929,1828,1724,1413
2006-10-01,1770,1706,1765,2291,2056,2032,1651,1756,1985,1594
2006-10-08,1758,1720,1629,1913,1974,2217,1888,1671,2024,1906
2006-10-15,1864,1915,1518,1826,1969,2133,2307,1821,2134,2005
2006-10-22,2003,2184,1586,2292,2469,1877,2659,1978,2091,1924
2006-10-29,2048,2415,1700,2357,2694,2036,2447,2062,2109,1852
2006-11-05,2088,2080,1951,2224,2447,2147,2497,2013,2538,2142
2006-11-12,2228,2604,1941,2900,2242,2290,2466,2270,3094,1784
2006-11-19,2334,3006,1898,2624,2090,2742,2346,2528,2923,1679
2006-11-26,2418,2891,1843,2833,2124,2597,2447,2526,2648,2235
2006-12-03,2520,3420,1669,2483,2178,2216,2529,2801,2596,2216
2006-12-10,2717,4078,1985,3102,2841,2234,2639,2797,2777,2242
2006-12-17,3008,4041,2409,3749,3252,2179,2407,3173,3035,2445
2006-12-24,3302,4104,2355,4618,3258,2317,2744,3770,3570,2353
2006-12-31,3722,3595,3127,3917,3322,2670,3943,4091,4688,3133
2007-01-07,3099,2425,2422,3289,2771,4437,3874,3457,3908,2962
2007-01-14,2748,2657,2694,2938,2329,4140,2980,2980,2808,2272
2007-01-21,2844,2352,3190,2643,1905,3798,2981,3129,2803,2113
2007-01-28,2965,2104,3382,2805,2464,3618,4830,3312,3050,2066
2007-02-04,3309,2957,3948,2842,2591,3939,4546,3402,3212,2411
2007-02-11,3456,3019,3992,4032,3355,4210,5718,3442,3418,2525
2007-02-18,3340,3037,3202,3277,5086,5066,5403,3312,2773,2986
2007-02-25,3006,2646,2709,2764,6006,5347,6668,2835,2188,3069
2007-03-04,2845,2678,2741,2490,5025,4788,5830,2678,1968,2810
2007-03-11,2311,2342,1972,1866,4008,4632,3715,2211,1970,2484
2007-03-18,1847,1883,1799,1672,2646,3949,2541,1840,2104,1823
2007-03-25,1618,1887,1684,1531,2039,3506,2244,1480,1856,1645
2007-04-01,1588,1514,1509,1263,1767,3414,2122,1439,1939,1768
2007-04-08,1744,1590,1821,1345,2255,2980,2395,1668,2196,1653
2007-04-15,1513,1211,1323,1608,2122,2967,2074,1513,1902,1631
2007-04-22,1326,1295,1520,1439,1839,2996,1785,1266,1500,1308
2007-04-29,1258,1267,1434,1289,1658,2684,1576,1239,1469,1057
2007-05-06,1188,1364,1206,1091,1450,2290,1710,1091,1493,1135
2007-05-13,1054,1286,1112,982,1289,2235,1498,991,1594,860
2007-05-20,920,1260,849,930,1278,2051,1352,872,1400,721
2007-05-27,947,1125,1049,1033,1247,2097,1189,806,1320,872
2007-06-03,760,828,729,1025,1285,1817,1022,739,1244,681
2007-06-10,776,796,875,1075,1216,1723,1137,704,1118,619
2007-06-17,783,1140,951,1043,1166,1662,971,732,955,514
2007-06-24,770,1003,963,1066,1149,1773,981,710,933,491
2007-07-01,743,1011,743,1049,1084,1688,1039,736,918,442
2007-07-08,778,985,1025,1071,948,1640,939,685,883,486
2007-07-15,616,989,673,1152,938,1476,1054,562,882,359
2007-07-22,635,775,662,1121,887,1384,997,619,1028,410
2007-07-29,588,801,659,997,808,1394,1113,510,1108,446
2007-08-05,648,735,583,1056,779,1446,1247,628,1130,432
2007-08-12,590,675,477,946,731,1303,1005,641,1087,422
2007-08-19,668,822,544,1003,709,1277,892,610,1269,567
2007-08-26,740,1035,765,942,646,1207,860,731,1335,551
2007-09-02,832,1113,706,960,708,1166,804,718,1514,720
2007-09-09,933,1076,983,1010,792,1121,789,863,1513,838
2007-09-16,1274,1224,1088,1368,1047,1104,1241,1278,1381,1173
2007-09-23,1379,1516,1402,1283,1718,1160,1460,1376,1467,1200
2007-09-30,1465,1520,1456,1379,1846,1227,1685,1459,1501,1324
2007-10-07,1340,1579,1201,1330,1937,1258,1858,1269,1746,1432
2007-10-14,1513,1563,1376,1424,1826,1371,1747,1513,1691,1542
2007-10-21,1504,1668,1325,1683,1679,1425,1759,1452,1823,1377
2007-10-28,1628,1830,1617,2049,1889,1551,1803,1559,1840,1461
2007-11-04,1717,1918,1577,2085,1722,1619,1974,1744,2249,1488
2007-11-11,1896,1848,1680,1999,1782,1584,2103,2013,1990,1488
2007-11-18,1972,2209,1954,2200,1723,1572,2234,2086,2062,1482
2007-11-25,1911,1977,1705,2189,1731,1610,2391,2134,2267,1414
2007-12-02,1949,2133,1726,2013,1788,1642,1890,2162,2614,1538
2007-12-09,2156,2413,2052,2205,1807,1794,1615,2389,2902,1526
2007-12-16,2390,2653,2251,2378,1836,1900,1653,2671,2918,1702
2007-12-23,2883,3149,2703,2579,1722,1865,2016,3217,3139,2059
2007-12-30,3058,3127,3212,2106,1803,2103,2301,3380,3833,2317
2008-01-06,2728,3232,2955,2152,1856,2373,2180,2781,3862,2156
2008-01-13,2474,2967,2906,2192,2208,2516,2134,2292,3668,2170
2008-01-20,2494,2958,2639,1862,2464,2726,2254,2455,3481,2198
2008-01-27,2668,3453,2793,2529,2647,3063,2371,2480,3614,2354
2008-02-03,2826,3220,3199,4016,2610,3119,2449,2622,3576,2509
2008-02-10,2786,3378,2895,4244,2484,3572,2617,2412,3746,2734
2008-02-17,3010,2892,3074,3795,2856,4193,3042,2881,4161,2611
2008-02-24,3080,3025,3108,3772,3796,4407,3165,2959,4416,2837
2008-03-02,3052,2725,2948,3260,3467,4461,2991,3106,4103,2912
2008-03-09,2808,2241,2518,2440,3330,4313,2891,3057,3523,2573
2008-03-16,2520,1957,2137,2074,3347,4062,3914,2711,3260,2206
2008-03-23,2469,2114,2151,1972,3764,3989,4018,2663,2933,2076
2008-03-30,2365,1671,1720,1969,3686,3561,4454,2593,2395,2215
2008-04-06,2202,1659,1786,1848,3455,3203,4387,2296,2093,2210
2008-04-13,1874,1459,1359,1520,3067,3105,3922,1998,1769,1965
2008-04-20,1679,1800,1308,1346,3069,3038,3124,1572,1509,1984
2008-04-27,1419,1380,1152,1181,2754,2823,2403,1439,1465,1429
2008-05-04,1179,1142,1068,1047,2252,2470,1988,1190,1346,1219
2008-05-11,1089,1078,943,984,2018,2283,1622,1085,1279,1215
2008-05-18,1002,785,780,989,1806,2192,1409,1033,1264,1154
2008-05-25,805,701,706,894,1539,2095,1216,791,1186,866
2008-06-01,688,691,617,939,1350,1920,1233,598,1067,675
2008-06-08,642,731,714,883,1200,1806,1183,535,974,580
2008-06-15,757,753,805,835,1079,1694,1093,662,946,757
2008-06-22,665,746,711,861,950,1583,1037,584,887,653
2008-06-29,615,695,653,815,885,1488,900,578,949,598
2008-07-06,520,701,457,713,875,1412,806,508,831,486
2008-07-13,491,621,545,777,811,1347,680,474,788,467
2008-07-20,494,539,467,751,781,1280,648,484,793,438
2008-07-27,429,574,443,641,709,1204,583,417,731,318
2008-08-03,474,643,529,622,712,1129,553,407,679,451
2008-08-10,577,614,475,698,655,1084,507,541,752,606
2008-08-17,565,557,439,726,647,1078,596,598,761,499
2008-08-24,711,648,580,738,633,1080,730,708,845,585
2008-08-31,740,914,633,694,674,1006,854,720,934,649
2008-09-07,914,1142,860,865,652,968,1151,834,1211,891
2008-09-14,1205,1350,1046,1075,903,1028,1306,1098,1183,1294
2008-09-21,1463,1308,1262,1471,1124,1105,1619,1422,1413,1605
2008-09-28,1422,1142,1259,1396,1657,1186,1586,1435,1487,1619
2008-10-05,1470,1463,1138,1252,2222,1422,1646,1384,1516,1641
2008-10-12,1473,1461,1139,1229,2028,1459,1750,1422,1640,1839
2008-10-19,1576,1676,1383,1410,1935,1520,1874,1496,1624,1692
2008-10-26,1642,1834,1439,1549,1751,1401,1796,1643,1835,1648
2008-11-02,1767,2034,1612,1623,1628,1605,1681,1727,1758,1698
2008-11-09,1977,2304,1844,2094,1820,1567,2477,1969,1904,1826
2008-11-16,1999,2425,1725,2092,2082,1610,2398,2080,1962,1585
2008-11-23,1947,2250,1567,1886,2188,1694,1933,2090,2072,1713
2008-11-30,2047,2389,1738,1922,2061,1853,1749,2213,2174,1677
2008-12-07,2101,2594,1843,1789,1983,2003,1775,2264,2110,1701
2008-12-14,2133,2637,1982,1878,1885,1967,2073,2244,2184,1605
2008-12-21,2246,2513,2017,1995,1929,1895,2239,2388,2049,1972
2008-12-28,2547,2433,2220,2205,2182,2107,2368,2734,2124,2284
2009-01-04,2596,2543,2174,2437,2433,2129,3216,2701,2113,2354
2009-01-11,2439,2108,2278,2187,2527,2096,3368,2646,1955,2089
2009-01-18,2475,2298,2046,1956,2561,2276,3343,2737,1744,2110
2009-01-25,2818,2431,2319,1752,2588,2703,3420,3078,1804,2668
2009-02-01,2951,2238,2663,1856,2468,2466,3772,3151,2262,2898
2009-02-08,3082,2465,2865,1889,3110,2522,3460,3042,2508,3217
2009-02-15,3308,2531,2982,1983,4299,2902,3206,2984,2464,4160
2009-02-22,3299,2668,3138,2165,4598,2956,3496,3015,2466,4080
2009-03-01,3057,2599,2635,2200,4163,3277,3617,2718,2530,3824
2009-03-08,2609,2155,2474,2224,3652,3289,3230,2426,2737,2922
2009-03-15,2294,2034,2225,2145,3519,3243,3185,2103,2780,2185
2009-03-22,2120,1961,2045,2081,3674,3187,3234,1973,2867,1905
2009-03-29,1844,1788,1758,1804,3515,3177,2806,1705,2771,1662
2009-04-05,1604,1828,1402,1681,2897,3343,2267,1514,2297,1334
2009-04-12,1542,1509,1276,1880,2577,2879,1965,1479,2134,1391
2009-04-19,1684,1682,1435,1750,2388,2770,2094,1559,2265,1526
2009-04-26,2342,2939,2468,2053,2574,2834,3532,2469,2629,1963
2009-05-03,2326,2889,2241,2862,2601,2707,4468,2517,3221,1496
2009-05-10,2247,2548,2418,2834,2542,2708,3681,2174,2897,1469
2009-05-17,1853,1954,1786,2547,2558,2495,2825,1665,2913,1416
2009-05-24,1661,1714,1280,2349,2156,2370,2218,1715,2714,1256
2009-05-31,1607,1496,1236,2509,1947,2332,1855,1654,2261,1360
2009-06-07,2116,2046,1186,3535,1785,2240,1660,2195,2385,2026
2009-06-14,1937,1842,1161,3288,1682,2180,1673,1919,3136,1852
2009-06-21,1563,1659,1017,2343,1532,2068,1720,1631,2859,1376
2009-06-28,1197,1319,1180,2001,1353,1951,1569,1144,2408,737
2009-07-05,1199,1417,1122,1627,1328,1928,1750,1125,2093,750
2009-07-12,1175,1541,1129,1367,1323,1939,1705,1102,1827,769
2009-07-19,1137,1532,1137,1406,1330,1846,2046,992,1660,754
2009-07-26,1151,1205,1073,1294,1311,1798,1931,1047,1443,723
2009-08-02,973,992,903,1218,1421,1679,2038,890,1277,567
2009-08-09,1015,1124,1009,1169,1535,1632,1969,784,1160,738
2009-08-16,1121,1135,1128,1168,1456,1575,1696,859,1083,784
2009-08-23,1309,1434,1126,1335,1393,1563,1520,1014,1096,829
2009-08-30,1584,1676,1174,1570,1355,1502,1403,1181,1395,1052
2009-09-06,2071,2119,1838,1529,1481,1488,1347,1475,1779,1489
2009-09-13,2621,2415,2372,1894,1817,1808,2113,2013,2444,1613
2009-09-20,3360,2707,3314,2837,2679,2296,3050,2880,2850,1743
2009-09-27,3718,2962,3653,2977,3417,2940,3519,3305,2757,1595
2009-10-04,4154,3316,4925,3184,3408,3804,3595,3581,3073,1883
2009-10-11,5111,4303,5878,3531,3758,3968,3494,4579,4398,2160
2009-10-18,6799,7939,6967,3933,4174,4867,4855,6599,5887,2591
2009-10-25,9688,12938,8578,5295,8147,15687,10149,10129,9137,4245
2009-11-01,9630,12842,8828,6874,12396,16283,13550,9645,11139,5419
2009-11-08,6504,6501,5414,5646,9273,10697,8839,5967,8692,5268
2009-11-15,4316,4431,3348,4727,6578,7283,5280,4224,5660,3706
2009-11-22,3055,3072,2570,3873,4798,5217,4028,3002,4482,2497
2009-11-29,2489,2210,2028,3428,3542,4098,3144,2543,3214,1936
2009-12-06,2134,1990,2055,2630,2739,3091,2324,2268,2459,1391
2009-12-13,2077,1800,1895,1937,2387,2665,1880,2240,2183,1412
2009-12-20,1957,1742,1601,1995,2056,2338,1591,2155,1847,1229
2009-12-27,2199,1847,1740,2136,1932,2122,1754,2391,1898,1494
2010-01-03,2176,2069,1827,1951,1830,1836,1906,2303,1824,1628
2010-01-10,1683,1531,1361,1646,1756,1733,1801,1585,1648,1220
2010-01-17,1695,1574,1368,1435,1728,1732,1660,1666,1704,1106
2010-01-24,1619,1453,1307,1279,1636,1774,1676,1502,1537,1010
2010-01-31,1757,1586,1325,1323,1647,1796,1815,1677,1449,1263
2010-02-07,1736,1445,1245,1285,1690,1827,1942,1698,1397,1038
2010-02-14,1717,1523,1199,1265,1907,1770,2142,1674,1305,1084
2010-02-21,1751,1481,1503,1206,1895,1798,1987,1703,1224,1133
2010-02-28,1748,1485,1788,1170,1909,1758,1932,1576,1316,1160
2010-03-07,1725,1736,1665,1227,1899,1802,1879,1490,1528,1207
2010-03-14,1523,1440,1519,1274,1762,1899,1986,1349,1718,1000
2010-03-21,1404,1507,1254,1292,1653,1994,1767,1318,1779,923
2010-03-28,1255,1165,1226,1211,1602,1976,1628,1099,1743,1065
2010-04-04,1160,1323,1051,1202,1709,1934,1457,1013,1603,913
2010-04-11,1077,1068,1029,1131,1563,1933,1326,948,1464,910
2010-04-18,1005,868,913,1038,1574,1867,1317,906,1417,841
2010-04-25,966,908,843,994,1509,1823,1324,836,1327,820
2010-05-02,854,983,832,912,1523,1778,1333,746,1189,455
2010-05-09,868,921,795,891,1494,1685,1216,735,1091,634
2010-05-16,833,843,722,816,1330,1619,1205,694,1029,704
2010-05-23,715,729,742,854,1249,1562,1101,606,1006,515
2010-05-30,641,738,667,742,1168,1531,1060,535,962,518
2010-06-06,570,723,626,697,1042,1498,928,428,925,449
2010-06-13,592,663,582,629,983,1523,837,447,879,470
2010-06-20,546,589,768,575,948,1543,758,386,895,487
2010-06-27,445,566,579,535,885,1459,645,403,892,382
