Google Flu Trends - Canada
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends

Date,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Saskatchewan,Quebec
2004-10-31,2207,2252,2421,2573,2401,2143,2400,2360,2232,1459
2004-11-07,2245,2234,2204,2148,2259,1998,2130,2443,2550,1955
2004-11-14,2237,2186,2131,2243,2363,1797,2086,2396,2815,2113
2004-11-21,2156,2827,2080,2099,2918,1535,2202,2334,2317,1469
2004-11-28,2345,2292,2139,2082,2434,1379,1833,2583,2105,2112
2004-12-05,2457,2639,2605,1766,2450,1399,1837,2570,2450,2211
2004-12-12,2722,2475,2715,2275,2214,1451,2932,2963,2887,2014
2004-12-19,3099,3504,3296,2355,2657,1383,3032,3182,3012,2703
2004-12-26,3586,3511,4039,2191,2431,1499,4640,3520,3261,3633
2005-01-02,3761,2905,4284,3921,2919,2135,4415,3500,3083,4463
2005-01-09,3120,2594,3138,3334,3502,3055,4277,2968,3172,3377
2005-01-16,3123,2423,3092,3324,3503,2789,4017,3210,3454,3066
2005-01-23,3276,2492,2888,3911,4098,3258,4219,3540,3040,3147
2005-01-30,3392,2529,2594,3104,5387,4166,4267,3825,3995,2951
2005-02-06,3526,2500,2484,3667,4786,4984,3920,4381,3506,2735
2005-02-13,3274,2343,1974,3606,4668,5209,4664,4245,2728,2273
2005-02-20,3658,2416,3417,4092,4001,5454,4167,4463,2782,2331
2005-02-27,3527,2927,3071,3850,3952,5157,3794,4390,2611,1998
2005-03-06,2927,2786,2797,3400,5319,5098,3371,3460,3130,1400
2005-03-13,2786,2162,2197,3259,4010,4116,3096,3519,2665,1812
2005-03-20,2438,2513,2153,2853,3425,3803,2249,2834,2470,1614
2005-03-27,2370,2589,2029,2797,3117,3334,2576,2493,2952,2152
2005-04-03,2036,1836,1879,2429,3253,2610,3143,2109,2500,1698
2005-04-10,1715,1790,1749,2117,3292,2348,2981,1683,1866,1455
2005-04-17,1509,1569,1690,1695,2467,2217,1950,1488,1750,1351
2005-04-24,1509,1809,1552,1534,2274,1905,1684,1465,2240,1224
2005-05-01,1451,1508,1457,1353,2258,1910,1599,1483,2100,1125
2005-05-08,1524,1414,1329,1303,3157,1648,1367,1580,1975,1302
2005-05-15,1262,1280,1167,1261,2546,1608,1305,1270,1725,1066
2005-05-22,1182,1351,1377,1178,1878,1563,1331,1020,1594,1080
2005-05-29,1110,1100,1077,1247,1566,1453,1459,1048,1589,827
2005-06-05,878,1083,1056,991,1373,1437,1372,797,1208,595
2005-06-12,777,924,897,968,1378,1726,1108,591,1220,590
2005-06-19,944,1042,1215,1160,1546,1525,1153,828,1072,566
2005-06-26,748,998,797,1095,1430,1507,1135,703,902,566
2005-07-03,892,838,912,1271,1192,1629,930,821,855,899
2005-07-10,812,1187,796,1127,1021,1368,1052,785,975,444
2005-07-17,639,880,882,1007,916,1393,809,541,921,544
2005-07-24,732,864,752,1001,879,1232,643,669,882,334
2005-07-31,705,942,594,1247,881,1105,830,684,1062,532
2005-08-07,745,1093,840,1059,879,1124,917,696,1078,555
2005-08-14,665,1330,621,835,763,1045,804,606,1160,492
2005-08-21,835,792,1048,885,730,888,803,794,1098,673
2005-08-28,936,1423,783,1047,1003,941,713,788,1159,720
2005-09-04,1050,1093,1104,1460,1200,868,684,987,1452,929
2005-09-11,1169,1233,1231,1645,1083,859,858,1093,1683,1064
2005-09-18,1424,1343,1539,2183,1037,1009,1278,1523,1612,1126
2005-09-25,1642,1443,1646,1792,1385,1919,1842,1665,1749,1416
2005-10-02,1758,1463,1664,1641,1587,3500,1853,1767,2400,1506
2005-10-09,1786,1629,1572,2147,2516,3269,1939,1789,2313,1496
2005-10-16,2048,1885,1685,2102,2204,2829,3324,2193,2149,1719
2005-10-23,2054,2027,1796,1814,2020,2484,2808,2214,1881,1681
2005-10-30,2305,1813,2051,2638,1739,2060,2926,2613,2161,2024
2005-11-06,2131,2251,1875,2554,2005,1727,2547,2425,2087,1424
2005-11-13,2433,3200,2058,3340,2315,1738,2576,2497,2274,1780
2005-11-20,2387,3407,1981,2991,2258,1817,2797,2346,2514,1976
2005-11-27,2134,2515,2024,2601,2243,1732,3065,2125,2658,1636
2005-12-04,2256,3066,2718,2109,2327,1915,2148,2186,2083,1554
2005-12-11,2321,3706,2874,2200,2627,1990,1718,2111,2028,1676
2005-12-18,2480,3321,3256,2494,2438,2561,2075,2178,2931,1670
