Google Flu Trends - Australia
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends

Date,Australia,Australian Capital Territory,New South Wales,Queensland,South Australia,Victoria,Western Australia
2008-08-03,827,844,932,1111,410,779,551
2008-08-10,1396,1601,1708,1568,997,1101,759
2008-08-17,1612,1548,1646,2122,1033,1496,935
2008-08-24,2282,2987,2187,3709,1440,2117,1333
2008-08-31,2017,2212,1611,2997,1729,2073,1534
2008-09-07,1340,1313,1032,1678,1367,1511,1216
2008-09-14,976,987,786,860,1155,1225,1072
2008-09-21,683,825,541,545,954,816,821
2008-09-28,515,678,351,466,788,605,765
2008-10-05,389,383,272,409,517,499,528
2008-10-12,371,297,314,360,504,367,536
2008-10-19,326,323,277,320,423,339,418
2008-10-26,317,531,274,385,302,299,313
2008-11-02,275,439,266,297,309,226,321
2008-11-09,284,349,241,272,333,268,446
2008-11-16,232,334,185,260,252,226,326
2008-11-23,202,340,163,219,210,225,224
2008-11-30,184,259,184,197,179,175,166
2008-12-07,144,207,133,169,129,138,132
2008-12-14,139,150,124,154,191,152,112
2008-12-21,141,138,132,198,152,119,124
2008-12-28,174,142,164,168,127,192,103
2009-01-04,157,128,163,174,191,142,122
2009-01-11,126,167,119,154,117,128,100
2009-01-18,102,146,117,117,100,83,71
2009-01-25,90,115,101,121,100,68,74
2009-02-01,91,97,92,124,85,66,93
2009-02-08,98,75,109,107,70,75,106
2009-02-15,124,85,128,136,139,95,93
2009-02-22,145,147,162,112,133,113,163
2009-03-01,188,255,192,192,175,143,168
2009-03-08,218,203,226,218,236,214,154
2009-03-15,211,205,199,267,196,199,180
2009-03-22,204,216,188,291,230,174,158
2009-03-29,227,203,200,250,268,224,155
2009-04-05,188,182,184,218,196,166,190
2009-04-12,188,189,174,244,175,181,134
2009-04-19,239,338,225,277,315,238,147
2009-04-26,429,377,432,506,705,374,283
2009-05-03,402,517,365,457,885,409,287
2009-05-10,438,394,434,502,741,401,332
2009-05-17,504,504,418,474,864,639,344
2009-05-24,849,1360,666,839,1442,1391,413
2009-05-31,986,1655,760,873,1634,1676,529
2009-06-07,1056,1494,766,982,1232,1691,705
2009-06-14,1176,1931,967,915,1204,2012,635
2009-06-21,1271,974,1351,760,967,2033,532
2009-06-28,1562,2202,2587,757,1121,1445,397
2009-07-05,1590,2084,2994,1213,1110,867,562
2009-07-12,1589,2672,2477,1899,1482,754,862
2009-07-19,1316,2837,1377,2279,1418,721,1035
2009-07-26,1115,2282,874,2180,1631,618,1480
2009-08-02,869,1117,584,1566,1589,548,1856
2009-08-09,657,861,429,1011,1589,478,1125
2009-08-16,615,760,420,886,1320,522,853
2009-08-23,472,512,350,592,928,403,700
2009-08-30,365,463,286,363,672,370,454
2009-09-06,385,433,310,311,834,409,520
2009-09-13,299,340,237,271,504,301,409
2009-09-20,218,265,168,206,376,229,351
2009-09-27,193,199,160,177,302,208,252
2009-10-04,213,175,144,251,359,221,311
2009-10-11,242,235,184,221,409,266,272
2009-10-18,203,303,157,204,368,189,283
2009-10-25,193,330,149,203,298,196,176
2009-11-01,167,353,148,173,269,161,147
2009-11-08,144,270,127,139,227,144,126
2009-11-15,158,212,136,145,246,174,144
2009-11-22,118,179,126,90,161,126,89
2009-11-29,96,165,97,67,110,106,100
2009-12-06,90,138,90,67,78,99,86
2009-12-13,80,108,72,68,107,89,70
2009-12-20,72,100,61,67,118,87,58
2009-12-27,68,104,61,59,98,76,50
2010-01-03,75,96,69,67,96,82,62
2010-01-10,61,87,55,70,72,64,66
2010-01-17,57,82,55,67,50,57,49
2010-01-24,53,71,49,60,49,53,46
2010-01-31,71,73,64,98,77,72,74
2010-02-07,84,70,78,88,95,79,75
2010-02-14,93,68,93,121,80,81,60
2010-02-21,136,114,139,150,89,119,132
2010-02-28,138,110,147,147,115,124,126
2010-03-07,167,163,172,167,234,144,121
2010-03-14,174,200,194,178,142,153,115
2010-03-21,158,272,134,216,124,158,149
2010-03-28,122,216,105,156,102,118,137
2010-04-04,125,178,107,145,96,142,113
2010-04-11,167,171,140,186,104,201,152
2010-04-18,170,185,129,164,119,206,186
2010-04-25,211,225,172,211,149,233,233
2010-05-02,214,212,159,229,250,240,219
2010-05-09,280,275,260,233,234,292,239
2010-05-16,316,319,273,291,389,363,291
2010-05-23,319,369,313,293,400,360,340
2010-05-30,230,272,221,213,221,257,218
2010-06-06,337,358,288,283,407,445,254
2010-06-13,307,333,246,333,399,361,293
2010-06-20,281,406,262,261,310,294,289
2010-06-27,265,352,262,209,322,268,326
2010-07-04,245,378,221,259,233,229,288
2010-07-11,323,391,280,382,322,336,336
2010-07-18,357,438,285,397,370,372,427
2010-07-25,379,405,320,348,303,450,463
2010-08-01,434,410,392,398,463,512,464
2010-08-08,460,558,360,412,463,528,623
2010-08-15,536,605,421,536,536,646,597
2010-08-22,563,693,438,533,615,705,499
2010-08-29,543,690,385,533,591,691,619
2010-09-05,516,561,372,532,897,647,484
2010-09-12,471,482,333,394,982,601,551
2010-09-19,405,531,288,317,891,451,679
2010-09-26,367,548,253,305,738,462,488
2010-10-03,316,552,239,259,623,392,290
2010-10-10,287,424,215,270,661,322,261
2010-10-17,240,328,171,257,413,287,251
2010-10-24,214,261,161,248,256,279,153
2010-10-31,221,265,182,252,246,239,201
2010-11-07,206,308,185,202,192,250,134
2010-11-14,180,297,158,192,190,203,124
2010-11-21,150,248,123,165,199,182,117
2010-11-28,124,233,97,191,171,145,138
2010-12-05,110,202,96,117,131,120,85
2010-12-12,102,179,94,120,103,114,67
2010-12-19,111,158,99,125,99,115,81
2010-12-26,100,138,95,106,99,114,62
2011-01-02,118,155,118,140,85,122,64
2011-01-09,103,176,120,82,83,109,61
2011-01-16,104,172,103,133,84,95,78
2011-01-23,96,157,95,137,75,85,49
2011-01-30,92,172,87,128,77,84,61
2011-02-06,108,169,97,164,88,105,61
2011-02-13,134,179,124,190,96,129,78
2011-02-20,154,172,167,207,109,130,100
2011-02-27,192,169,168,220,212,198,150
2011-03-06,210,203,189,250,208,209,148
2011-03-13,198,235,194,255,192,180,155
2011-03-20,212,243,208,248,302,191,143
2011-03-27,201,207,181,272,205,189,159
2011-04-03,228,232,214,301,177,221,193
2011-04-10,254,343,211,396,245,240,151
2011-04-17,170,300,178,214,198,148,102
2011-04-24,192,261,196,215,223,196,96
2011-05-01,244,297,216,345,254,238,122
2011-05-08,275,378,262,373,337,244,137
2011-05-15,315,387,316,428,299,292,182
2011-05-22,299,365,288,383,367,291,160
2011-05-29,349,415,293,425,406,365,237
2011-06-05,364,439,352,476,404,338,227
2011-06-12,381,604,369,764,701,280,305
2011-06-19,503,781,493,617,709,401,325
2011-06-26,422,716,427,460,515,386,337
2011-07-03,356,609,419,419,425,269,207
2011-07-10,356,684,335,553,322,282,289
2011-07-17,381,535,388,650,460,300,321
2011-07-24,391,370,348,592,472,304,372
2011-07-31,442,322,366,738,432,390,337
2011-08-07,397,388,342,594,456,352,287
2011-08-14,332,356,268,442,378,374,220
2011-08-21,291,279,264,347,278,291,238
2011-08-28,302,264,250,305,331,332,280
2011-09-04,273,266,232,294,306,300,252
2011-09-11,261,231,196,314,320,297,288
2011-09-18,266,202,209,262,295,339,296
2011-09-25,296,164,252,275,344,347,329
2011-10-02,246,186,211,232,210,304,269
2011-10-09,274,202,262,215,266,335,217
2011-10-16,285,221,249,237,376,336,305
2011-10-23,266,231,275,222,262,287,233
2011-10-30,246,229,237,210,256,284,210
2011-11-06,235,199,216,197,301,291,190
2011-11-13,220,178,227,162,240,241,228
2011-11-20,202,159,207,160,171,235,186
2011-11-27,189,168,181,169,179,214,188
2011-12-04,188,144,219,141,127,206,141
2011-12-11,177,146,200,134,137,191,111
2011-12-18,207,145,255,187,127,204,149
2011-12-25,141,152,180,111,98,143,99
2012-01-01,156,147,185,145,82,154,95
2012-01-08,122,139,137,102,78,126,97
2012-01-15,100,125,116,90,81,92,74
2012-01-22,85,117,103,68,63,84,66
2012-01-29,95,101,99,95,59,92,94
2012-02-05,117,96,119,117,81,125,90
2012-02-12,153,99,150,129,104,179,119
2012-02-19,174,95,177,154,90,183,155
2012-02-26,216,125,202,184,125,213,203
2012-03-04,251,162,285,189,178,248,200
2012-03-11,271,206,297,187,230,307,228
2012-03-18,300,261,329,195,271,346,202
2012-03-25,333,259,414,253,231,303,284
2012-04-01,265,230,368,182,121,254,169
2012-04-08,272,217,359,176,132,267,213
2012-04-15,299,298,392,220,203,269,201
2012-04-22,245,312,317,156,191,233,186
2012-04-29,298,253,382,192,275,282,218
2012-05-06,343,210,390,246,266,378,207
2012-05-13,444,252,448,337,371,542,310
2012-05-20,511,394,589,335,456,601,330
